epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,48660,0.98099,0.71156,1.09893,0.80703,0.64333,0.70752,0.48442,0.8383,0.51665,0.99176,0.0088912,0.0088912,0.0088912
58,49507.8,0.97673,0.70475,1.09359,0.78056,0.64846,0.70625,0.48577,0.83398,0.51364,0.9899,0.0088714,0.0088714,0.0088714
59,50367.4,0.97391,0.69946,1.0953,0.79195,0.648,0.71149,0.49185,0.83193,0.51121,0.98875,0.0088516,0.0088516,0.0088516
60,51213.7,0.96807,0.69619,1.09164,0.80442,0.65503,0.71536,0.49082,0.83149,0.50722,0.98877,0.0088318,0.0088318,0.0088318
61,52046.9,0.97404,0.69974,1.09457,0.82162,0.65194,0.72207,0.49787,0.8282,0.50431,0.98714,0.008812,0.008812,0.008812
62,52887.9,0.97137,0.69779,1.09278,0.81259,0.64993,0.72147,0.49934,0.82458,0.50115,0.98376,0.0087922,0.0087922,0.0087922
63,53745.7,0.96676,0.69721,1.09236,0.80252,0.65521,0.72032,0.49723,0.82231,0.49839,0.98234,0.0087724,0.0087724,0.0087724
64,54590.8,0.96269,0.68896,1.08883,0.81348,0.65864,0.72568,0.50228,0.81932,0.49468,0.97981,0.0087526,0.0087526,0.0087526
65,55426.4,0.96229,0.68899,1.08833,0.81329,0.65359,0.7236,0.50196,0.81516,0.49303,0.97849,0.0087328,0.0087328,0.0087328
66,56257.5,0.96307,0.68868,1.08762,0.81269,0.65736,0.7236,0.50328,0.81371,0.4919,0.97743,0.008713,0.008713,0.008713
67,57111.5,0.95919,0.68771,1.08766,0.81801,0.65925,0.73,0.50864,0.81159,0.48834,0.97668,0.0086932,0.0086932,0.0086932
68,57966.6,0.96203,0.68252,1.0871,0.82067,0.65886,0.73162,0.51137,0.80966,0.48566,0.97575,0.0086734,0.0086734,0.0086734
69,58804.1,0.96047,0.68149,1.08519,0.81534,0.66649,0.73194,0.51245,0.80821,0.48394,0.97423,0.0086536,0.0086536,0.0086536
70,59648.8,0.95481,0.68046,1.08558,0.81105,0.66701,0.7346,0.51524,0.80513,0.48142,0.97207,0.0086338,0.0086338,0.0086338
71,60476.7,0.95579,0.67832,1.0857,0.82061,0.66468,0.73731,0.51644,0.80335,0.47938,0.97118,0.008614,0.008614,0.008614
72,61306.2,0.95162,0.67524,1.08264,0.8263,0.66671,0.74019,0.51977,0.80224,0.47905,0.97071,0.0085942,0.0085942,0.0085942
73,62130.2,0.95621,0.66997,1.08259,0.83773,0.66058,0.73917,0.52032,0.79939,0.47555,0.96856,0.0085744,0.0085744,0.0085744
74,62957.9,0.9548,0.67665,1.08596,0.8305,0.66599,0.73951,0.52113,0.79691,0.47305,0.96776,0.0085546,0.0085546,0.0085546
75,63796.4,0.95216,0.67057,1.08201,0.83039,0.66814,0.73981,0.52183,0.79433,0.47015,0.96609,0.0085348,0.0085348,0.0085348
76,64623.5,0.94521,0.66517,1.07876,0.82684,0.66684,0.74267,0.5259,0.79225,0.46824,0.96563,0.008515,0.008515,0.008515
77,65457.9,0.94708,0.66714,1.08086,0.82641,0.67419,0.74543,0.52664,0.79028,0.46672,0.96457,0.0084952,0.0084952,0.0084952
78,66278,0.94542,0.66617,1.07514,0.82815,0.67839,0.74844,0.52838,0.78857,0.4658,0.96296,0.0084754,0.0084754,0.0084754
79,67107.7,0.94178,0.66178,1.07452,0.81956,0.68287,0.74842,0.52846,0.78795,0.46432,0.96241,0.0084556,0.0084556,0.0084556
80,67940.4,0.94181,0.65731,1.07292,0.83685,0.68185,0.75242,0.53232,0.78562,0.46081,0.96045,0.0084358,0.0084358,0.0084358
81,68753,0.94076,0.65862,1.07676,0.83057,0.68881,0.75503,0.53591,0.78304,0.45964,0.95959,0.008416,0.008416,0.008416
82,69591.5,0.93963,0.65869,1.07678,0.83957,0.68473,0.75547,0.53826,0.78054,0.4571,0.95906,0.0083962,0.0083962,0.0083962
83,70410.5,0.9387,0.6533,1.0765,0.84844,0.6875,0.75751,0.53972,0.7786,0.45584,0.95796,0.0083764,0.0083764,0.0083764
84,71245.5,0.93871,0.65304,1.07238,0.84611,0.68879,0.75846,0.54014,0.77669,0.45439,0.95674,0.0083566,0.0083566,0.0083566
85,72078.6,0.93507,0.65042,1.0723,0.84479,0.68752,0.75878,0.54086,0.77515,0.45252,0.95557,0.0083368,0.0083368,0.0083368
86,72917.9,0.9365,0.6527,1.06967,0.84006,0.69044,0.75869,0.54272,0.77378,0.45117,0.95499,0.008317,0.008317,0.008317
87,73745,0.93701,0.6538,1.07112,0.84026,0.68961,0.75835,0.54309,0.77224,0.4506,0.95429,0.0082972,0.0082972,0.0082972
88,74566,0.93556,0.65116,1.0707,0.83748,0.69561,0.76025,0.54461,0.77065,0.44946,0.95369,0.0082774,0.0082774,0.0082774
89,75384.7,0.93125,0.6478,1.06946,0.83878,0.70029,0.76384,0.5469,0.76873,0.44738,0.95248,0.0082576,0.0082576,0.0082576
90,76218.6,0.9288,0.64628,1.06789,0.84156,0.69983,0.76649,0.54967,0.76732,0.44536,0.95143,0.0082378,0.0082378,0.0082378
91,77043.8,0.93072,0.64672,1.06721,0.84234,0.70343,0.76703,0.55101,0.76611,0.44357,0.95086,0.008218,0.008218,0.008218
92,77880.2,0.92708,0.64015,1.06706,0.84021,0.7037,0.76779,0.55247,0.76465,0.4421,0.95012,0.0081982,0.0081982,0.0081982
93,78736.4,0.92786,0.6399,1.06473,0.83898,0.70494,0.76805,0.55375,0.76312,0.44077,0.94926,0.0081784,0.0081784,0.0081784
94,79591,0.92499,0.63497,1.06464,0.84614,0.70275,0.76856,0.55468,0.76152,0.43964,0.94812,0.0081586,0.0081586,0.0081586
95,80443.3,0.92708,0.63811,1.06698,0.84919,0.70177,0.76974,0.55632,0.75985,0.43816,0.94719,0.0081388,0.0081388,0.0081388
96,81297.7,0.9218,0.63358,1.06246,0.84805,0.70394,0.77208,0.55828,0.75815,0.43666,0.94623,0.008119,0.008119,0.008119
97,82155.1,0.92272,0.63603,1.06196,0.85268,0.70251,0.77374,0.55892,0.75676,0.43552,0.94517,0.0080992,0.0080992,0.0080992
98,83003.2,0.92099,0.63797,1.06268,0.84632,0.70834,0.77406,0.56005,0.75542,0.4343,0.94434,0.0080794,0.0080794,0.0080794
99,83866.9,0.91889,0.62897,1.06053,0.85285,0.70533,0.77524,0.56148,0.75398,0.43341,0.94345,0.0080596,0.0080596,0.0080596
100,84716.8,0.921,0.63526,1.06187,0.85619,0.70615,0.77672,0.56263,0.75251,0.4323,0.9428,0.0080398,0.0080398,0.0080398
101,85578.1,0.9219,0.63104,1.05977,0.85865,0.70545,0.77703,0.5633,0.75108,0.43104,0.94211,0.00802,0.00802,0.00802
102,86444.1,0.92052,0.62985,1.06229,0.85986,0.70701,0.77777,0.56385,0.74982,0.42979,0.94131,0.0080002,0.0080002,0.0080002
103,87289.8,0.91661,0.62897,1.06103,0.86293,0.70535,0.77904,0.5652,0.7487,0.42877,0.94056,0.0079804,0.0079804,0.0079804
104,88138.2,0.91389,0.63023,1.0594,0.86253,0.70503,0.77969,0.56597,0.74765,0.42786,0.93991,0.0079606,0.0079606,0.0079606
105,88988.5,0.91211,0.62294,1.05739,0.86469,0.70512,0.78048,0.56744,0.74639,0.42671,0.93921,0.0079408,0.0079408,0.0079408
106,89848.6,0.91351,0.62561,1.05755,0.86946,0.70499,0.78165,0.56845,0.7452,0.42531,0.93852,0.007921,0.007921,0.007921
107,90701.3,0.91066,0.6216,1.05572,0.86773,0.70668,0.78196,0.56917,0.7441,0.42434,0.93789,0.0079012,0.0079012,0.0079012
108,91563.7,0.91385,0.62399,1.05502,0.8671,0.70545,0.78211,0.56981,0.74311,0.42328,0.93716,0.0078814,0.0078814,0.0078814
109,92409.8,0.91267,0.62309,1.05773,0.8613,0.70923,0.78382,0.57112,0.74229,0.42259,0.93668,0.0078616,0.0078616,0.0078616
110,93258.5,0.91172,0.62144,1.05784,0.8608,0.71168,0.78458,0.57151,0.74144,0.42181,0.93625,0.0078418,0.0078418,0.0078418
111,94111.9,0.9052,0.61633,1.05679,0.86228,0.71288,0.78477,0.57135,0.74067,0.421,0.93584,0.007822,0.007822,0.007822
112,94963.7,0.90688,0.61488,1.05588,0.85973,0.714,0.78541,0.57217,0.73986,0.42032,0.93533,0.0078022,0.0078022,0.0078022
113,95818.1,0.90926,0.61911,1.05352,0.86425,0.71247,0.78573,0.57299,0.73892,0.41963,0.93474,0.0077824,0.0077824,0.0077824
114,96678.8,0.90515,0.61605,1.05361,0.86644,0.71348,0.78665,0.57435,0.73796,0.41859,0.93421,0.0077626,0.0077626,0.0077626
115,97539.7,0.90372,0.61377,1.05035,0.86378,0.71382,0.78779,0.57492,0.73712,0.41786,0.93376,0.0077428,0.0077428,0.0077428
116,98400.9,0.90431,0.61356,1.05367,0.86406,0.7147,0.78822,0.57561,0.73631,0.4172,0.93333,0.007723,0.007723,0.007723
117,99257.7,0.89989,0.61291,1.05237,0.8646,0.71552,0.78924,0.5758,0.73562,0.4165,0.93303,0.0077032,0.0077032,0.0077032
118,100104,0.90474,0.61421,1.05183,0.86873,0.71484,0.79012,0.57696,0.73488,0.41563,0.93263,0.0076834,0.0076834,0.0076834
119,100963,0.89655,0.60895,1.04892,0.87117,0.71414,0.79087,0.57761,0.73413,0.41492,0.93216,0.0076636,0.0076636,0.0076636
120,101829,0.89823,0.60814,1.04899,0.87413,0.71344,0.79147,0.5784,0.73333,0.41418,0.9317,0.0076438,0.0076438,0.0076438
121,102671,0.90064,0.61095,1.04904,0.87073,0.71574,0.79228,0.57926,0.73244,0.41365,0.93123,0.007624,0.007624,0.007624
122,103511,0.90199,0.60889,1.05013,0.8698,0.71702,0.79274,0.57965,0.73172,0.41304,0.93084,0.0076042,0.0076042,0.0076042
123,104377,0.89668,0.60709,1.05045,0.86629,0.7205,0.79334,0.58048,0.73101,0.4124,0.93046,0.0075844,0.0075844,0.0075844
124,105229,0.89886,0.61063,1.04997,0.86468,0.72267,0.79406,0.5811,0.73012,0.41168,0.92994,0.0075646,0.0075646,0.0075646
125,106083,0.89393,0.60262,1.04611,0.86273,0.72584,0.79462,0.58193,0.72941,0.41105,0.92957,0.0075448,0.0075448,0.0075448
126,106934,0.90014,0.60662,1.04908,0.86682,0.72469,0.7951,0.58278,0.7287,0.4105,0.92922,0.007525,0.007525,0.007525
127,107793,0.8919,0.59903,1.04361,0.87116,0.72266,0.79566,0.58356,0.72812,0.40999,0.92889,0.0075052,0.0075052,0.0075052
128,108656,0.89287,0.60037,1.04544,0.87126,0.72212,0.79605,0.58448,0.72745,0.40938,0.9285,0.0074854,0.0074854,0.0074854
129,109511,0.88892,0.59785,1.04509,0.87075,0.72344,0.79613,0.585,0.72673,0.40881,0.92811,0.0074656,0.0074656,0.0074656
130,110357,0.89403,0.60272,1.0462,0.87167,0.72277,0.79666,0.58545,0.72601,0.40829,0.9277,0.0074458,0.0074458,0.0074458
131,111216,0.89049,0.59623,1.04433,0.87089,0.72475,0.79698,0.58592,0.72529,0.40776,0.92732,0.007426,0.007426,0.007426
132,112064,0.88803,0.60243,1.04506,0.87107,0.72462,0.79726,0.58613,0.72457,0.4072,0.92687,0.0074062,0.0074062,0.0074062
133,112917,0.88949,0.59578,1.04207,0.86931,0.7269,0.79789,0.5868,0.72391,0.40672,0.9265,0.0073864,0.0073864,0.0073864
134,113755,0.89066,0.59866,1.04436,0.8694,0.72782,0.79847,0.58752,0.72318,0.40615,0.92613,0.0073666,0.0073666,0.0073666
135,114604,0.89165,0.59631,1.04539,0.86959,0.72885,0.79843,0.58786,0.72254,0.40563,0.92574,0.0073468,0.0073468,0.0073468
136,115440,0.88801,0.59304,1.04144,0.87113,0.72835,0.79879,0.58826,0.72185,0.40519,0.92538,0.007327,0.007327,0.007327
137,116270,0.88307,0.59446,1.04334,0.87242,0.72818,0.79926,0.58896,0.72132,0.40469,0.92511,0.0073072,0.0073072,0.0073072
138,117105,0.88803,0.59611,1.04323,0.87354,0.72879,0.79984,0.58945,0.72075,0.40426,0.9248,0.0072874,0.0072874,0.0072874
139,117956,0.88376,0.59202,1.04019,0.87425,0.7295,0.80011,0.58999,0.72014,0.40371,0.92445,0.0072676,0.0072676,0.0072676
140,118808,0.88021,0.59088,1.03949,0.87089,0.73153,0.8007,0.59038,0.71965,0.40327,0.92415,0.0072478,0.0072478,0.0072478
141,119634,0.88253,0.59259,1.03919,0.87266,0.73129,0.80115,0.59094,0.71912,0.40281,0.92384,0.007228,0.007228,0.007228
142,120461,0.88659,0.59189,1.03846,0.8761,0.73082,0.80162,0.59138,0.71865,0.40246,0.92351,0.0072082,0.0072082,0.0072082
143,121293,0.88346,0.58851,1.03927,0.87827,0.73052,0.8021,0.59176,0.71812,0.40205,0.92316,0.0071884,0.0071884,0.0071884
144,122150,0.87906,0.58402,1.03394,0.87616,0.73099,0.80232,0.59241,0.71764,0.40164,0.92286,0.0071686,0.0071686,0.0071686
145,122997,0.88081,0.58944,1.03925,0.87397,0.73273,0.8028,0.59293,0.71709,0.40122,0.92251,0.0071488,0.0071488,0.0071488
146,123846,0.88086,0.58532,1.03829,0.87647,0.73199,0.80321,0.59351,0.71658,0.40084,0.92229,0.007129,0.007129,0.007129
147,124692,0.88207,0.5865,1.03796,0.87644,0.73187,0.80366,0.59408,0.71611,0.40053,0.92201,0.0071092,0.0071092,0.0071092
148,125548,0.8796,0.58597,1.03967,0.87746,0.73278,0.8038,0.59431,0.7156,0.40023,0.92177,0.0070894,0.0070894,0.0070894
149,126401,0.87591,0.58019,1.03654,0.87243,0.736,0.80426,0.59466,0.7151,0.39973,0.92152,0.0070696,0.0070696,0.0070696
150,127247,0.87528,0.5835,1.03602,0.87337,0.73566,0.80472,0.59521,0.71457,0.39939,0.92125,0.0070498,0.0070498,0.0070498
